domain,unique_onions
wikitjerrta4qgz4.onion.pet,16
www.drugwiki.net,16
www.monitor.si,16
www.tf3il.com,16
habr.com,16
pastebin.zone,15
webofdark.com,15
godnotaba.com,15
wolvoman80.co.uk,15
deepweb.link,15
dreammarket.link,15
bestbitcointumblers.com,15
elminuto.cl,15
antilop.cc,15
plnemlsyla6h5t3nuoz2algzmy635ceuendnjwsmhwn2os5fxahshiad.onion.pet,15
hiddenwiki.me,15
bestbitcoinmixer.org,14
teletype.in,14
forum.bits.media,14
www.extrem-bodybuilding.de,14
raddle.me,14
cyberguerrilla.info,14
cryptostorm.ch,14
darkwebmarket.io,14
www.sadiv.com.ua,14
malware.wikia.org,14
mars-infos.org,14
www.pcrisk.com,13
0net.eu.org,13
www.airsassociation.org,13
2ch.hk,13
premiermen.ru,13
www.kaufdex.com,13
blog.rootshell.be,13
blog.talosintelligence.com,13
www.funinformatique.com,13
www.new-age-gamer.com,13
darkwebjournal.com,13
www.thedarkweblinks.com,13
www.mysonicwall.com,13
mastodon.social,12
onionhydra.com,12
wiki.installgentoo.com,12
hacker10.com,12
www.systemli.org,12
reiki-newlife.ru,12
www.dope-smoker.co.uk,12
iluminaci.com,12
www.socializziamo.net,12
ruonion.fm,12
gist.github.com,12
wayanway.com,12
xakep.ru,12
whyweprotest.net,12
waygoway.online,12
www.vpnroot.com,11
www.roccobalzama.it,11
nora.holiday,11
techniorg.com,11
darknetmarkets.org,11
www.dreamytricks.net,11
procrd.sc,11
cxifru.net,11
onio.icu,11
www.cio.com.au,11
www.cinziadelnevo.com,11
redmine.tails.boum.org,11
westernrifleshooters.wordpress.com,11
2channel.moe,11
wwh-club.net,11
sdelaicomp.ru,11
archive.vn,11
elbinario.net,11
fr.scribd.com,11
www.mariscotron.libertar.org,11
fororacing.com.ar,11
en.bitcoinwiki.org,11
www.makeuseof.com,11
www.niemanlab.org,11
www.addictivetips.com,11
www.aypcservices.com,11
archive.ph,11
git-tails.immerda.ch,11
kartadohoda.ru,11
paste.installgentoo.com,10
www.cybers3c.pt,10
www.islabit.com,10
blog.cloudflare.com,10
www.randombrick.de,10
www.myhowtoonline.com,10
freed0m4all.net,10
inthehiddenwiki.net,10
site.ip138.com,10
cryptorials.io,10
gd-analytics.com,10
secinfodb.wordpress.com,10
0-chan.ru,10
www.arnnet.com.au,10
www.golem.de,10
famicoman.com,10
www.resist.se,10
howtechhack.com,10
medium.com,10
rstforums.com,10
hacktivis.me,10
incashwetrust.biz,10
hawaii247.com,9
suprova.wordpress.com,9
swflorida.blogspot.com,9
hydraonion.pk,9
lorazepam.informe.com,9
rottenswamp.ru,9
www.solvetic.com,9
wwh-club.us,9
isc.sans.edu,9
www.bugsfighter.com,9
paste4btc.com,9
spyboy.blog,9
theinfosecguru.wordpress.com,9
wpfixall.com,9
my.oschina.net,9
dafoster.net,9
obshaga.kz,9
veepn.co,9
listas.elbinario.net,9
www.ehacknews.in,9
program-think.blogspot.com,9
www.hongkiat.com,9
ombresulweb.com,9
darktop.top,9
particl.wiki,9
spacezilotes.wordpress.com,9
www.fbi.gov,9
papaly.com,9
zx110.org,9
blog.gslin.org,9
www.wikihow.cz,9
www.worldit.info,9
securelist.ru,8
jablanovic.ch,8
registrio.com.ua,8
www.techtunes.co,8
carding.ug,8
securelist.com,8
cheapicialis.informe.com,8
www.aigaogao.com,8
stats.elbinario.net,8
jambler.io,8
underc0de.org,8
en.deepwebtr.info,8
bittrust.org,8
www.techdirt.com,8
uzivatel.wordpress.com,8
en.wikipedia.org,8
www.hknklc.com,8
www.anquanke.com,8
spoznaj.eu,8
rossbennetts.com,8
dnstats.net,8
www.nioguard.com,8
motedem.com,8
www.thegame23.com,8
www.welivesecurity.com,8
krebsonsecurity.com,8
nachaloveka.ru,8
allthingsvice.com,8
www.qwrt.ru,8
www.linux.org.ru,8
xn--80aaaondebbc3au4bnpo4d7h.xn--p1ai,8
navin.com.tw,8
forum.hashkiller.co.uk,8
lavylites.dir.bg,8
trickred.com,8
www.howtouninstallamalwareth.org,8
wangluozhili.blogchina.com,8
asteragroup.net,8
endchan5doxvprs5.onion.pet,8
www.vegetarianliving.co.uk,8
congohacking.com,8
we.riseup.net,8
www.hackdig.com,8
aigaogao.com,8
bestsecuritysearch.com,8
bitkoins.nl,8
blog.genma.fr,8
vergeexplorer.com,8
malwarebreakdown.com,8
vpnbasen.se,8
www.dipopedia.com,8
www.passwordrevelator.net,8
engelmann.com,8
ponysaotome.blog13.fc2.com,8
events.ccc.de,8
www.torforum.org,8
eurodenik.cz,8
www.spassletter.de,8
forum.esetnod32.ru,7
www.muskimagazin.com,7
blog.elhacker.net,7
mk-donbass.com.ua,7
riemann.unizar.es,7
www.apar.tv,7
forum.malekal.com,7
blog.angelalonso.es,7
vdmweb.it,7
www.bitchute.com,7
www.datingkeuze.nl,7
nakedsecurity.sophos.com,7
www.icreatenews.com,7
www.pcrisk.nl,7
tordeepweb.com,7
deepwebtalk.com,7
topdreammarket.com,7
kenhdaihoc.net,7
ru.m.wikinews.org,7
www.fireeye.com,7
zagforums.com,7
www.reviewstalk.com,7
bestofama.com,7
www.finanz-notes.de,7
makeyi.com,7
www.canadianmoneysaver.ca,7
gatooscuro7.wordpress.com,7
editorcum.com,7
www.wikihow.com,7
www.website-down.de,7
zigforums.com,7
notabug.org,7
era-gold.com,7
www.medianama.com,7
ubcert.ir,7
ae.norton.com,7
all-for-love.dir.bg,7
