domain,unique_onions
229,worldmarket.pinpay.co,23
230,715.livejournal.com,23
231,www.yarddi.ru,23
232,lunaroom.ru,23
233,www.javierpina.com,23
234,kevinkatovic.com,23
235,lists.torproject.org,23
236,www.ransomwareblog.com,23
237,www.nachaloveka.ru,23
238,security.stackexchange.com,22
239,wezard4u.tistory.com,22
240,www.mejor-antivirus.es,22
241,universalbri.wordpress.com,21
242,riseup.net,21
243,computers5puntozero.blogspot.com,21
244,null-byte.wonderhowto.com,20
245,www.kiledjian.com,20
246,www.ta3allamdz.com,20
247,archive.is,19
248,securityaffairs.co,19
249,www.miszonas.com,19
250,greycoder.com,19
251,www.techlazy.com,19
252,endchan.net,19
253,ruonion.biz,19
254,www.boomle.ru,18
255,atelier.mediaslibres.org,18
256,www.deepweb-sites.com,18
257,teknodestekteam.com,18
258,www.hax4us.com,17
259,www.dailibu.cn,17
260,www.silentpost.org,17
261,nymphetomania.club,17
262,www.technedigitus.com,17
263,roguesecuritylabs.ltd,17
264,swimpool.biz,17
265,www.4hou.com,17
266,habr.com,16
267,www.monitor.si,16
268,wikitjerrta4qgz4.onion.pet,16
269,www.tf3il.com,16
270,www.drugwiki.net,16
271,hiddenwiki.me,15
272,godnotaba.com,15
273,plnemlsyla6h5t3nuoz2algzmy635ceuendnjwsmhwn2os5fxahshiad.onion.pet,15
274,antilop.cc,15
275,dreammarket.link,15
276,bestbitcointumblers.com,15
277,wolvoman80.co.uk,15
278,webofdark.com,15
279,deepweb.link,15
280,pastebin.zone,15
281,elminuto.cl,15
282,www.extrem-bodybuilding.de,14
283,forum.bits.media,14
284,cyberguerrilla.info,14
285,mars-infos.org,14
286,bestbitcoinmixer.org,14
287,cryptostorm.ch,14
288,darkwebmarket.io,14
289,raddle.me,14
290,www.sadiv.com.ua,14
291,malware.wikia.org,14
292,teletype.in,14
293,www.new-age-gamer.com,13
294,0net.eu.org,13
295,blog.rootshell.be,13
296,darkwebjournal.com,13
297,www.kaufdex.com,13
298,www.funinformatique.com,13
299,blog.talosintelligence.com,13
300,www.airsassociation.org,13
301,2ch.hk,13
302,premiermen.ru,13
303,www.thedarkweblinks.com,13
304,www.mysonicwall.com,13
305,www.pcrisk.com,13
306,www.systemli.org,12
307,waygoway.online,12
308,whyweprotest.net,12
309,wiki.installgentoo.com,12
310,www.dope-smoker.co.uk,12
311,wayanway.com,12
312,archive.vn,12
313,hacker10.com,12
314,iluminaci.com,12
315,www.socializziamo.net,12
316,xakep.ru,12
317,mastodon.social,12
318,ruonion.fm,12
319,gist.github.com,12
320,reiki-newlife.ru,12
321,www.roccobalzama.it,12
322,onionhydra.com,12
323,onio.icu,11
324,procrd.sc,11
325,kartadohoda.ru,11
326,sdelaicomp.ru,11
327,redmine.tails.boum.org,11
328,nora.holiday,11
329,cxifru.net,11
330,www.addictivetips.com,11
331,www.cio.com.au,11
332,www.cinziadelnevo.com,11
333,www.vpnroot.com,11
334,fororacing.com.ar,11
335,www.aypcservices.com,11
336,www.mariscotron.libertar.org,11
337,www.makeuseof.com,11
338,www.dreamytricks.net,11
339,en.bitcoinwiki.org,11
340,archive.ph,11
341,techniorg.com,11
342,fr.scribd.com,11
343,www.niemanlab.org,11
344,elbinario.net,11
345,wwh-club.net,11
346,git-tails.immerda.ch,11
347,westernrifleshooters.wordpress.com,11
348,darknetmarkets.org,11
349,2channel.moe,11
350,rstforums.com,10
351,www.websitenotworking.com,10
352,incashwetrust.biz,10
353,www.myhowtoonline.com,10
354,cryptorials.io,10
355,www.cybers3c.pt,10
356,www.resist.se,10
357,inthehiddenwiki.net,10
358,www.arnnet.com.au,10
359,blog.cloudflare.com,10
360,www.randombrick.de,10
361,paste.installgentoo.com,10
362,gd-analytics.com,10
363,www.golem.de,10
364,howtechhack.com,10
365,freed0m4all.net,10
366,www.islabit.com,10
367,0-chan.ru,10
368,hacktivis.me,10
369,medium.com,10
370,secinfodb.wordpress.com,10
371,famicoman.com,10
372,site.ip138.com,10
373,www.worldit.info,9
374,darktop.top,9
375,dafoster.net,9
376,hawaii247.com,9
377,www.hongkiat.com,9
378,obshaga.kz,9
379,wpfixall.com,9
380,wwh-club.us,9
381,listas.elbinario.net,9
382,program-think.blogspot.com,9
383,krebsonsecurity.com,9
384,ombresulweb.com,9
385,lorazepam.informe.com,9
386,www.fbi.gov,9
387,my.oschina.net,9
388,www.ehacknews.in,9
389,papaly.com,9
390,www.bugsfighter.com,9
391,www.solvetic.com,9
392,blog.gslin.org,9
393,particl.wiki,9
394,paste4btc.com,9
395,spacezilotes.wordpress.com,9
396,endchan5doxvprs5.onion.pet,9
397,veepn.co,9
398,spyboy.blog,9
399,suprova.wordpress.com,9
400,swflorida.blogspot.com,9
401,hydraonion.pk,9
402,theinfosecguru.wordpress.com,9
403,isc.sans.edu,9
404,rottenswamp.ru,9
405,zx110.org,9
406,www.wikihow.cz,9
407,securelist.com,8
408,asteragroup.net,8
409,www.thegame23.com,8
410,forum.hashkiller.co.uk,8
411,www.dipopedia.com,8
412,vpnbasen.se,8
413,bestsecuritysearch.com,8
414,bitkoins.nl,8
415,vergeexplorer.com,8
416,www.vegetarianliving.co.uk,8
417,events.ccc.de,8
418,eurodenik.cz,8
419,trickred.com,8
420,registrio.com.ua,8
421,engelmann.com,8
422,xn--80aaaondebbc3au4bnpo4d7h.xn--p1ai,8
423,motedem.com,8
424,securelist.ru,8
425,www.nioguard.com,8
426,www.passwordrevelator.net,8
427,dnstats.net,8
428,nachaloveka.ru,8
429,navin.com.tw,8
430,allthingsvice.com,8
431,www.linux.org.ru,8
432,we.riseup.net,8
433,aigaogao.com,8
434,www.hackdig.com,8
435,www.hknklc.com,8
436,stats.elbinario.net,8
437,www.howtouninstallamalwareth.org,8
438,www.torforum.org,8
439,spoznaj.eu,8
440,www.spassletter.de,8
441,bittrust.org,8
442,www.techdirt.com,8
443,www.qwrt.ru,8
444,www.anquanke.com,8
445,www.aigaogao.com,8
446,en.wikipedia.org,8
447,www.techtunes.co,8
448,cheapicialis.informe.com,8
449,www.welivesecurity.com,8
